ID,Description,Location,Region,Duration,Start ,End,Day,Month,year,Season,Environment,Conditions,Temp,Recorder,Mics,Channels,Mic_position,SC?,Lossless?,mp3?,Image?,site?,Quality,Notes,Actual date
MUL002,Mulberry Farm dam (underwater recording),Carrickalinga,Western Fleurieu,9:27,10:30:00,10:39:27,1,9,2014,Spring,Riverine,,,Olympus LS-100,JrF C-series hydro,Stereo pair,Hydrophone,y,y,y,y,y,4,,
MyP002,Myponga Reservoir,Myponga,Western Fleurieu,3:02,14:30:00,14:33:02,1,1,2013,Summer,Semi-urban,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
MyP003,Myponga Main Street,Myponga,Western Fleurieu,4:01,15:00:00,15:04:01,1,1,2013,Summer,Urban,,,Edirol HR-09,Built-in,Stereo pair,Positioned,y,y,y,y,y,3,,
MyP004,Myponga Reservoir Reserve - tall grasses,Myponga,Western Fleurieu,7:06,12:30:00,12:37:06,1,4,2019,Autumn,Open space,,,SD MixPre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,3,,
MyP005,Myponga Reservoir Reserve - lookout point,Myponga,Western Fleurieu,3:51,13:30:00,13:33:51,1,4,2019,Autumn,Riverine,,,SD MixPre-3,LA CM3,Stereo pair,Tripod,y,y,y,y,y,3,,
NRM001,Normanville Beach,Normanville,Western Fleurieu,2:00,6:00:00,6:02:00,1,7,2011,Winter,Coastal,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,5,,
NRM002,"Normanville Caravan Park, Bungala River",Normanville,Western Fleurieu,2:00,7:45:00,7:47:00,1,7,2011,Winter,Riverine,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,3,,
NRM003,Normanville Town Centre,Normanville,Western Fleurieu,5:16,9:05:00,9:10:16,1,7,2011,Winter,Urban,,,Edirol HR-09,Built-in,Stereo pair,Tripod,y,y,y,y,y,4,,
NRM004,"Field Street, Normanville (sound walk)",Normanville,Western Fleurieu,4:38,14:00:00,14:04:38,1,1,2011,Summer,Semi-urban,,,Edirol HR-09,Built-in,Stereo pair,Handheld - soundwalk,y,y,y,y,y,4,,
NRM005,Normanville Camping Ground,Normanville,Western Fleurieu,2:08,16:00:00,16:02:08,1,5,2015,Autumn,Open space,,,Olympus LS-100,Built-in,Stereo pair,Handheld,y,y,y,y,y,3,,
